CLOSE_AUDUSD.FX,CLOSE_EURUSD.FX,CLOSE_GBPUSD.FX,CLOSE_NZDUSD.FX,CLOSE_USDCAD.FX,CLOSE_USDCHF.FX,CLOSE_USDCNH.FX,CLOSE_USDCNY.FX,CLOSE_USDDKK.FX,CLOSE_USDHKD.FX,CLOSE_USDJPY.FX,CLOSE_USDNOK.FX,CLOSE_USDSEK.FX
0.7996,1.1914,1.3033,0.7235,1.2374,0.9552,6.5408,6.6624,6.2434,7.8259,108.81,7.7793,7.9703
0.7944,1.1896,1.2931,0.7162,1.2416,0.9582,6.5293,6.666,6.2516,7.8252,109.72,7.81,7.9639
0.7975,1.186,1.2951,0.7158,1.2394,0.9648,6.5612,6.6704,6.2705,7.8249,110.25,7.7989999999999995,8.0
0.7947,1.1909999999999998,1.2930000000000001,0.7178,1.2482,0.9587,6.5966,6.6755,6.2447,7.8259,109.98,7.7611,7.9387
0.7905,1.1884,1.2925,0.7202,1.2621,0.9636,6.5991,6.6916,6.2594,7.8252,110.24,7.8097,7.9794
0.7951,1.1972,1.2918,0.7257,1.2512,0.9558,6.6082,6.6855,6.2142,7.8248,109.71,7.7497,7.9389
0.7963,1.1979,1.2933,0.7256,1.2508,0.9553,6.6185,6.6712,6.2103,7.8237,109.25,7.752999999999999,7.9589
0.7932,1.1924,1.2882,0.7241,1.2481,0.9570000000000001,6.6437,6.6636,6.2385,7.8183,109.36,7.7525,7.9644
0.7905,1.1799,1.2801,0.7214,1.252,0.9655,6.6610000000000005,6.647,6.3034,7.8228,109.56,7.8431,8.0672
0.7904,1.1807,1.28,0.7225,1.2554,0.9652,6.6627,6.6743,6.2993,7.8254,109.04,7.8686,8.0598
0.7911,1.1762,1.2824,0.7279,1.2565,0.9681,6.6684,6.7061,6.3239,7.8262,109.57,7.91,8.0947
0.7939,1.1815,1.29,0.7326,1.2558,0.9619,6.6713,6.7215,6.2951,7.8238,108.98,7.8962,8.074
0.7929,1.1761,1.287,0.7313,1.2585,0.9646,6.6827,6.7289,6.324,7.8237,109.18,7.9059,8.116
0.7885,1.1723,1.2868,0.7282,1.2682,0.963,6.6842,6.7172,6.3433,7.8236,109.57,7.9698,8.1394
0.7925,1.1767,1.2891,0.7313,1.2618,0.9658,6.6883,6.7217,6.3202,7.8216,110.19,7.9254,8.0773
0.7821,1.1735,1.2869,0.7236,1.2757,0.9725,6.6963,6.7179,6.3375,7.8238,110.67,7.9639999999999995,8.0735
0.7852,1.178,1.2964,0.7287,1.2722,0.972,6.69,6.7266,6.3133,7.8213,109.63,7.9509,8.1129
0.7894,1.1821,1.3014,0.7311,1.2677,0.9618,6.6766,6.7369,6.2909,7.8184,109.19,7.9311,8.1186
0.7875,1.1772,1.2977,0.7275,1.2744,0.9626,6.6667,6.742999999999999,6.3183,7.8176,109.2,7.9508,8.1352
0.7888,1.1759,1.3004,0.7337,1.27,0.9637,6.6921,6.754,6.3265,7.8151,110.07,7.9569,8.177
0.7914,1.1752,1.2992,0.7329,1.2667,0.9742,6.712000000000001,6.751,6.3309,7.8234,110.32,7.9572,8.1759
0.7912,1.1795,1.3035,0.7363,1.268,0.973,6.7313,6.7512,6.3063,7.8198,110.75,7.9236,8.1502
0.7922,1.1773,1.304,0.7409,1.2645,0.9727,6.7351,6.7667,6.3199,7.8195,110.69,7.944,8.1463
